hidden_layers,activation_fn,epochs,learning_rate,batch_size,accuracy
[4],sigmoid,250,10.0,512,0.7184565128623928
[4],sigmoid,250,1.0,16,0.7715394038383013
[4],sigmoid,250,1.0,32,0.7676602694977542
[4],sigmoid,250,1.0,64,0.7686810943242139
[4],sigmoid,250,1.0,128,0.768068599428338
[4],sigmoid,250,1.0,256,0.7770518579011841
[4],sigmoid,250,1.0,512,0.7697019191506738
[4],sigmoid,250,0.1,16,0.768476929358922
[4],sigmoid,250,0.1,32,0.7727643936300531
[4],sigmoid,250,0.1,64,0.7694977541853818
[4],sigmoid,250,0.1,128,0.7674561045324623
[4],sigmoid,250,0.1,256,0.7615353205389955
[4],sigmoid,250,0.1,512,0.759289505920784
[4],sigmoid,250,0.01,16,0.7627603103307472
[4],sigmoid,250,0.01,32,0.7605144957125357
[4],sigmoid,250,0.01,64,0.754389546753777
[4],sigmoid,250,0.01,128,0.7552062066149449
[4],sigmoid,250,0.01,256,0.7429563086974276
[4],sigmoid,250,0.01,512,0.680481829318089
[4],sigmoid,250,0.001,16,0.7490812576561862
[4],sigmoid,250,0.001,32,0.736014699877501
[4],sigmoid,250,0.001,64,0.6794610044916293
[4],sigmoid,250,0.001,128,0.6651694569211923
[4],sigmoid,250,0.001,256,0.6651694569211923
[4],sigmoid,250,0.001,512,0.6651694569211923
[4],sigmoid,250,0.0001,16,0.6651694569211923
[4],sigmoid,250,0.0001,32,0.6649652919559004
[4],sigmoid,250,0.0001,64,0.6645569620253164
[4],sigmoid,250,0.0001,128,0.47876684360963656
[4],sigmoid,250,0.0001,256,0.6721110657411188
[4],sigmoid,250,0.0001,512,0.4171090240914659
[4],relu,1,10.0,16,0.33483054307880766
[4],relu,1,10.0,32,0.6651694569211923
[4],relu,1,10.0,64,0.33768885259289505
[4],relu,1,10.0,128,0.6653736218864843
[4],relu,1,10.0,256,0.3630053082890976
[4],relu,1,10.0,512,0.5116374030216415
[4],relu,1,1.0,16,0.7464271131073907
[4],relu,1,1.0,32,0.7351980400163332
[4],relu,1,1.0,64,0.7245814618211515
[4],relu,1,1.0,128,0.749693752552062
[4],relu,1,1.0,256,0.6870151082074316
[4],relu,1,1.0,512,0.7188648427929767
[4],relu,1,0.1,16,0.7464271131073907
[4],relu,1,0.1,32,0.7368313597386689
[4],relu,1,0.1,64,0.7109024091465904
[4],relu,1,0.1,128,0.6680277664352797
[4],relu,1,0.1,256,0.6837484687627603
[4],relu,1,0.1,512,0.6698652511229073
[4],relu,1,0.01,16,0.7027358105349122
[4],relu,1,0.01,32,0.6592486729277256
[4],relu,1,0.01,64,0.662106982441813
[4],relu,1,0.01,128,0.6596570028583095
[4],relu,1,0.01,256,0.6092282564311964
[4],relu,1,0.01,512,0.43875051041241325
[4],relu,1,0.001,16,0.6073907717435688
[4],relu,1,0.001,32,0.3762760310330747
[4],relu,1,0.001,64,0.6651694569211923
[4],relu,1,0.001,128,0.6031033074724377
[4],relu,1,0.001,256,0.33483054307880766
[4],relu,1,0.001,512,0.6651694569211923
[4],relu,1,0.0001,16,0.6651694569211923
[4],relu,1,0.0001,32,0.6653736218864843
[4],relu,1,0.0001,64,0.6639444671294406
[4],relu,1,0.0001,128,0.6651694569211923
[4],relu,1,0.0001,256,0.44528378930175583
[4],relu,1,0.0001,512,0.6645569620253164
[4],relu,10,10.0,16,0.33483054307880766
[4],relu,10,10.0,32,0.6651694569211923
[4],relu,10,10.0,64,0.33483054307880766
[4],relu,10,10.0,128,0.6661902817476522
[4],relu,10,10.0,256,0.6651694569211923
[4],relu,10,10.0,512,0.3534095549203757
[4],relu,10,1.0,16,0.7155982033483055
[4],relu,10,1.0,32,0.7092690894242548
[4],relu,10,1.0,64,0.7662311147407105
[4],relu,10,1.0,128,0.750102082482646
[4],relu,10,1.0,256,0.763985300122499
[4],relu,10,1.0,512,0.7596978358513679
[4],relu,10,0.1,16,0.7517354022049816
[4],relu,10,0.1,32,0.7652102899142507
[4],relu,10,0.1,64,0.7660269497754185
[4],relu,10,0.1,128,0.7619436504695795
[4],relu,10,0.1,256,0.7525520620661494
[4],relu,10,0.1,512,0.7331563903634136
[4],relu,10,0.01,16,0.7580645161290323
[4],relu,10,0.01,32,0.7572478562678644
[4],relu,10,0.01,64,0.7043691302572479
[4],relu,10,0.01,128,0.6857901184156798
[4],relu,10,0.01,256,0.6643527970600245
[4],relu,10,0.01,512,0.5884034299714169
[4],relu,10,0.001,16,0.6651694569211923
[4],relu,10,0.001,32,0.6637403021641486
[4],relu,10,0.001,64,0.6849734585545121
[4],relu,10,0.001,128,0.6651694569211923
[4],relu,10,0.001,256,0.680073499387505
[4],relu,10,0.001,512,0.6347488770926909
[4],relu,10,0.0001,16,0.6651694569211923
[4],relu,10,0.0001,32,0.6612903225806451
[4],relu,10,0.0001,64,0.6218864842792977
[4],relu,10,0.0001,128,0.3338097182523479
[4],relu,10,0.0001,256,0.33544303797468356
[4],relu,10,0.0001,512,0.6633319722335648
[4],relu,25,10.0,16,0.33483054307880766
[4],relu,25,10.0,32,0.6651694569211923
[4],relu,25,10.0,64,0.33483054307880766
[4],relu,25,10.0,128,0.33483054307880766
[4],relu,25,10.0,256,0.6655777868517763
[4],relu,25,10.0,512,0.3458554512045733
[4],relu,25,1.0,16,0.6870151082074316
[4],relu,25,1.0,32,0.7388730093915884
[4],relu,25,1.0,64,0.7613311555737036
[4],relu,25,1.0,128,0.7574520212331564
[4],relu,25,1.0,256,0.7690894242547979
[4],relu,25,1.0,512,0.7666394446712944
[4],relu,25,0.1,16,0.7668436096365864
[4],relu,25,0.1,32,0.76827276439363
[4],relu,25,0.1,64,0.7733768885259289
