hidden_layers,activation_fn,epochs,learning_rate,batch_size,mse
[4],relu,250,1.0,64,0.12383355
[4],relu,250,1.0,128,13.899024
[4],relu,250,1.0,256,2.0377662
[4],relu,250,1.0,512,
[4],relu,250,0.1,16,0.014902368
[4],relu,250,0.1,32,0.0146408295
[4],relu,250,0.1,64,0.014168161
[4],relu,250,0.1,128,0.0148169575
[4],relu,250,0.1,256,0.014696722
[4],relu,250,0.1,512,0.0152965095
[4],relu,250,0.01,16,0.013738223
[4],relu,250,0.01,32,0.014227836
[4],relu,250,0.01,64,0.01499558
[4],relu,250,0.01,128,0.015801843
[4],relu,250,0.01,256,0.01596438
[4],relu,250,0.01,512,0.01731081
[4],relu,250,0.001,16,0.014982866
[4],relu,250,0.001,32,0.016794987
[4],relu,250,0.001,64,0.017125875
[4],relu,250,0.001,128,0.017985022
[4],relu,250,0.001,256,0.020955523
[4],relu,250,0.001,512,0.026826192
[4],relu,250,0.0001,16,0.02097672
[4],relu,250,0.0001,32,0.021213165
[4],relu,250,0.0001,64,0.045787416
[4],relu,250,0.0001,128,0.04173834
[4],relu,250,0.0001,256,0.107316226
[4],relu,250,0.0001,512,0.044698812
[4],softmax,1,10.0,16,
[4],softmax,1,10.0,32,
[4],softmax,1,10.0,64,
[4],softmax,1,10.0,128,
[4],softmax,1,10.0,256,
[4],softmax,1,10.0,512,6.113032e+27
[4],softmax,1,1.0,16,
[4],softmax,1,1.0,32,
[4],softmax,1,1.0,64,
[4],softmax,1,1.0,128,1.3047984e+20
[4],softmax,1,1.0,256,580671550.0
[4],softmax,1,1.0,512,2723.1377
[4],softmax,1,0.1,16,0.016875928
[4],softmax,1,0.1,32,0.022447342
[4],softmax,1,0.1,64,0.021605983
[4],softmax,1,0.1,128,0.022369726
[4],softmax,1,0.1,256,0.028934779
[4],softmax,1,0.1,512,0.022815594
[4],softmax,1,0.01,16,0.022268029
[4],softmax,1,0.01,32,0.028166372
[4],softmax,1,0.01,64,0.036440957
[4],softmax,1,0.01,128,0.02848066
[4],softmax,1,0.01,256,0.03976588
[4],softmax,1,0.01,512,0.18489154
[4],softmax,1,0.001,16,0.04510902
[4],softmax,1,0.001,32,0.026908416
[4],softmax,1,0.001,64,0.7958255
[4],softmax,1,0.001,128,0.26509783
[4],softmax,1,0.001,256,0.47631323
[4],softmax,1,0.001,512,0.036235504
[4],softmax,1,0.0001,16,0.6460349
[4],softmax,1,0.0001,32,0.02223061
[4],softmax,1,0.0001,64,0.479158
[4],softmax,1,0.0001,128,0.55750436
[4],softmax,1,0.0001,256,0.30433467
[4],softmax,1,0.0001,512,0.04659496
[4],softmax,10,10.0,16,
[4],softmax,10,10.0,32,
[4],softmax,10,10.0,64,
[4],softmax,10,10.0,128,
[4],softmax,10,10.0,256,
[4],softmax,10,10.0,512,
[4],softmax,10,1.0,16,
[4],softmax,10,1.0,32,
[4],softmax,10,1.0,64,
[4],softmax,10,1.0,128,
[4],softmax,10,1.0,256,
[4],softmax,10,1.0,512,
[4],softmax,10,0.1,16,0.015346948
[4],softmax,10,0.1,32,0.0155658275
[4],softmax,10,0.1,64,0.016099978
[4],softmax,10,0.1,128,0.015875624
